Version|Device Vendor|Device Product|Device Version|Device Event Class ID|Name|Severity|Extension

CEF:0|Lockpath|Keylight|5.3.042.8|API Log|Keylight API Log Entry|Unknown|externalId=1 rt=Jul 11 19 17:42:55 requestMethod=GetComponentList suser= msg=An exception occurred processing the GetComponentList request. \n\nException:\n\nSystem.Exception: A valid session is required for API access.
CEF:0|Lockpath|Keylight|5.3.042.8|API Log|Keylight API Log Entry|Unknown|externalId=2 rt=Jul 11 19 17:43:01 requestMethod=Login suser= msg=An exception occurred processing the Login request. Attempted to log in with username 'keylightapi'.\n\nException:\n\nSystem.Exception: Keylight API access is not enabled for this account.\r\n   at LockPath.Keylight.API.Security.SecurityService.Login(String username, String password, String ldapSettingsId) in C:\\Src\\5.2R3U1\\LockPath.Keylight.API\\Security\\SecurityService.cs:line 12
CEF:0|Lockpath|Keylight|5.3.042.8|Audit Log|Keylight Audit Log Entry|Unknown|externalId=1 rt=Jun 27 19 18:55:46 cat=SECURITY suser=Keylight Support msg=Keylight Admin updated user Keylight Admin attributes. 
CEF:0|Lockpath|Keylight|5.3.042.8|Audit Log|Keylight Audit Log Entry|Unknown|externalId=14 rt=Jun 28 19 18:08:06 cat=SECURITY suser=Robert Klohr - Local msg=Robert Klohr updated security configuration Administrator Configuration (ID\=1).
CEF:0|Lockpath|Keylight|5.3.042.8|Email Log|Email Log Entry|Unknown|externalId=1 rt=Jun 27 19 20:33:57 reason=Authority Documents: Import succeeded. msg=View Template: <a href\='https://cambia.keylightgrc.com/Regulation/Portal.aspx?ViewTemplate\=2'>Lockpath Authority Docs Import Template</a><hr/> duser=Support, Keylight sproc=Imports CEF:0:0|Lockpath|Keylight|5.3.042.8|Email Log|Email Log Entry|Unknown|externalId=2 rt=Jun 27 19 20:33:57 reason=Authority Documents: Import succeeded. msg=View Template: <a href\='https://cambia.keylightgrc.com/Regulation/Portal.aspx?ViewTemplate\=2'>Lockpath Authority Docs Import Template</a><hr/> duser=Support, Keylight sproc=Imports
CEF:0|Lockpath|Keylight|5.3.042.8|Event Log|Keylight Event Log Entry|Unknown|externalId=653047 rt=Jan 30 20 00:00:50 cn1=106 cn1Label=Thread cat=INFO shost=cambia.keylightgrc.com msg=START: Digest Emails\n	[LockPath Keylight Job Engine PRD A1] sourceServiceName=
CEF:0|Lockpath|Keylight|5.3.042.8|Event Log|Keylight Event Log Entry|Unknown|externalId=653048 rt=Jan 30 20 00:00:50 cn1=141 cn1Label=Thread cat=INFO shost=cambia.keylightgrc.com msg=START: Analytics Job Creation\n	[LockPath Keylight Job Engine PRD A1] sourceServiceName=Analytics
CEF:0|Lockpath|Keylight|5.3.042.8|Jobs Log|Keylight Jobs Log Entry|Unknown|externalId=103475 cs1=Completed cs1Label=Status cs2= cs2Label=Parent Job suser=System, Keylight rt=Jan 29 20 07:00:45 start=Jan 29 20 07:00:46 end=Jan 29 20 07:02:08 deviceCustomDate1= deviceCustomDate1Label=Paused deviceCustomDate2= deviceCustomDate2Label=Resumed cn1=300 cn1Label=Priority cn2=300 cn2Label=Calculated Priority cs3= cs3Label=Table cn3= cn3Label=Record msg=
CEF:0|Lockpath|Keylight|5.3.042.8|Jobs Log|Keylight Jobs Log Entry|Unknown|externalId=103477 cs1=Completed cs1Label=Status cs2=103475 cs2Label=Parent Job suser=System, Keylight rt=Jan 29 20 07:02:08 start=Jan 29 20 07:02:48 end=Jan 29 20 07:03:00 deviceCustomDate1= deviceCustomDate1Label=Paused deviceCustomDate2= deviceCustomDate2Label=Resumed cn1=200 cn1Label=Priority cn2=200 cn2Label=Calculated Priority cs3=File References cs3Label=Table cn3=336 cn3Label=Record msg=
CEF:0|Lockpath|Keylight|5.3.042.8|Session History Log|Session History Log Entry|Unknown|externalId=1 suser=support@lockpath.com cs1=Keylight cs1Label=First Name cs2=Support cs2Label=Last Name cs3= cs3Label=Department start=Jun 27 19 18:53:01 end=Jun 27 19 19:25:12 msg=32 minutes, 10 seconds
CEF:0|Lockpath|Keylight|5.3.042.8|Session History Log|Session History Log Entry|Unknown|externalId=2 suser=support@lockpath.com cs1=Keylight cs1Label=First Name cs2=Support cs2Label=Last Name cs3= cs3Label=Department start=Jun 27 19 18:54:02 end=Jun 27 19 20:05:43 msg=1 hour, 11 minutes, 40 seconds

